id,citation_key,method,title,year,venue,tasks,scope,count_group,paradigm,paper_url,code_url,code_status,training_regime,access_note,year_basis,count_basis,checked_on
Zhu2017ICCV,Zhu2017ICCV,CycleGAN,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,2017,Proc. IEEE Int. Conf. Comput. Vis.,general unpaired image translation,translation,General / weather translation,not_assigned,https://junyanz.github.io/CycleGAN/,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,official_public_repository,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Kim2017DiscoGAN,Kim2017ICML,DiscoGAN,Learning to Discover Cross-Domain Relations with Generative Adversarial Networks,2017,Proc. Int. Conf. Mach. Learn.,general unpaired image translation,translation,General / weather translation,not_assigned,https://proceedings.mlr.press/v70/kim17a.html,https://github.com/SKTBrain/DiscoGAN,primary_source_linked_repository,unpaired two-domain training,Primary abstract explicitly learns cross-domain relations from unpaired data; broad style translation scope.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Yi2017ICCV,Yi2017ICCV,DualGAN,{DualGAN}: Unsupervised Dual Learning for Image-to-Image Translation,2017,Proc. IEEE Int. Conf. Comput. Vis.,general unpaired image translation,translation,General / weather translation,not_assigned,https://openaccess.thecvf.com/content_iccv_2017/html/Yi_DualGAN_Unsupervised_Dual_ICCV_2017_paper.html,,not_verified,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Liu2017NeurIPS,Liu2017NeurIPS,UNIT,Unsupervised Image-to-Image Translation Networks,2017,Adv. Neural Inf. Process. Syst.,general unpaired image translation,translation,General / weather translation,not_assigned,https://arxiv.org/abs/1703.00848,,not_verified,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Lee2018ECCV,Lee2018ECCV,DRIT,Diverse Image-to-Image Translation via Disentangled Representations,2018,Proc. Eur. Conf. Comput. Vis.,general unpaired image translation,translation,General / weather translation,not_assigned,https://arxiv.org/abs/1808.00948,,not_verified,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Huang2018ECCV,Huang2018ECCV,MUNIT,Multimodal Unsupervised Image-to-Image Translation,2018,Proc. Eur. Conf. Comput. Vis.,general unpaired image translation,translation,General / weather translation,not_assigned,https://arxiv.org/abs/1804.04732,,not_verified,unpaired-domain image translation; task-specific validation is not implied,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
Choi2018CVPR,Choi2018CVPR,StarGAN,{StarGAN}: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation,2018,Proc. IEEE Conf. Comput. Vis. Pattern Recognit.,general unpaired image translation,translation,General / weather translation,not_assigned,https://openaccess.thecvf.com/content_cvpr_2018/html/Choi_StarGAN_Unified_Generative_CVPR_2018_paper.html,,not_verified,unpaired multi-domain translation with domain/attribute labels,Broader methodological domain/style translation category; does not assert that all six restoration tasks were evaluated.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
nimisha2018,Covnimisha2018,Class-specific deblurring,Unsupervised Class-Specific Deblurring,2018,ECCV,deblurring,six_task,Six-task restoration,domain_translation,https://openaccess.thecvf.com/content_ECCV_2018/html/Nimisha_T_M_Unsupervised_Class-Specific_Deblurring_ECCV_2018_paper.html,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Independent sharp/blurry sets within a class; adversarial sharp prior and learned reblurring.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
engin2018cycle,engin2018cycle,Cycle-Dehaze,Cycle-Dehaze: Enhanced CycleGAN for Single Image Dehazing,2018,CVPR Workshops,dehazing,six_task,Six-task restoration,domain_translation,https://arxiv.org/abs/1805.05308,https://github.com/engindeniz/Cycle-Dehaze,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
yang2018disent,yang2018towards,DisentGAN,Towards Perceptual Image Dehazing by Physics-Based Disentanglement and Adversarial Training,2018,AAAI,dehazing,six_task,Six-task restoration,prior_guided,https://aaai.org/papers/12317-towards-perceptual-image-dehazing-by-physics-based-disentanglement-and-adversarial-training/,,not_verified,independent-domain restoration branch; see access_note for auxiliary information,Unpaired natural clear/hazy sets; scattering-model decomposition and adversarial clean-domain constraint.,final publication/issue year; first public preprint year if no final publication verified,"one canonical included paper; three disjoint scope groups; bounded corpus, not field-wide totals",2026-09-21
