id,name,tasks,acquisition,pairing,use,source_url,protocol_note
renoir,RENOIR,denoising,captured,paired,reference evaluation,https://adrianbarburesearch.blogspot.com/p/renoir-dataset.html,Distinguish RAW and processed releases; lower-noise references retain residual noise.
sidd,SIDD,denoising,captured,paired,training and reference evaluation,https://abdokamel.github.io/sidd/,RAW and sRGB are separate tracks; preserve the official scene and device splits.
dnd,DND,denoising,captured,paired,reference evaluation,https://noise.visinf.tu-darmstadt.de/,Use the official regions and evaluation protocol; hidden references are not a clean training pool.
dpdd,DPDD,deblurring,captured,paired,defocus evaluation,https://github.com/Abdullah-Abuolaim/defocus-deblurring-dual-pixel,Specify single-image or dual-pixel input; defocus results are distinct from motion deblurring.
realblur,RealBlur,deblurring,captured,paired,motion-blur evaluation,https://github.com/rimchang/RealBlur,Keep RealBlur-J and RealBlur-R separate and follow the stated alignment and intensity protocol.
ihaze,I-HAZE,dehazing,controlled physical haze,paired,indoor haze evaluation,https://arxiv.org/abs/1804.05091,Haze is physically generated and photographed; this is not digital synthesis or natural fog sampling.
ohaze,O-HAZE,dehazing,controlled physical haze,paired,outdoor haze evaluation,https://openaccess.thecvf.com/content_cvpr_2018_workshops/w13/html/Ancuti_O-HAZE_A_Dehazing_CVPR_2018_paper.html,Record the benchmark release and split; references are separately captured clear scenes.
nhhaze,NH-HAZE,dehazing,controlled physical haze,paired,nonuniform haze evaluation,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w31/Ancuti_NH-HAZE_An_Image_Dehazing_Benchmark_With_Non-Homogeneous_Hazy_and_Haze-Free_CVPRW_2020_paper.pdf,Spatially nonuniform haze tests a different capture regime from uniform controlled haze.
lol,LOL,low-light,captured,paired,low-light evaluation,https://arxiv.org/abs/1808.04560,Identify LOL-v1 or the exact later release; normal-light exposure is a selected target.
lsrw,LSRW,low-light,captured,paired,low-light evaluation,https://github.com/JianghaiSCU/R2RNet,Some outdoor pairs have local offsets; report registration and device subsets.
sice,SICE,low-light,captured multiexposure,paired,exposure enhancement,https://csjcai.github.io/papers/SICE.pdf,Keep source exposure sequences disjoint; references involve selected enhancement or fusion outputs.
spa,SPA-Data,deraining,captured video,paired estimated target,real-rain evaluation,https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Spatial_Attentive_Single-Image_Deraining_With_a_High_Quality_Real_Rain_CVPR_2019_paper.html,Clean targets use temporal information and semi-automatic construction; avoid source-video leakage.
realrain,RealRain-1k,deraining,captured video,paired estimated target,real-rain evaluation,https://arxiv.org/abs/2206.05514,Keep density subsets and reference construction explicit; SynRain-13k is a separate synthetic dataset.
gtrain,GT-RAIN,deraining,captured,paired,real-rain evaluation,https://github.com/UCLA-VMG/GT-RAIN,Rainy and clear captures are temporally separated; identify the release and alignment protocol.
realsnow,RealSnow,desnowing,captured video,paired estimated target,real-snow evaluation,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhu_Learning_Weather-General_and_Weather-Specific_Features_for_Image_Restoration_Under_Multiple_CVPR_2023_paper.pdf,Background references derive from static-scene videos; keep source sequences disjoint.
gopro,GoPro,deblurring,video-integrated blur,paired synthetic degradation,motion-blur evaluation,https://openaccess.thecvf.com/content_cvpr_2017/html/Nah_Deep_Multi-Scale_Convolutional_CVPR_2017_paper.html,Sharp real frames are integrated to create blur; this is not a captured long exposure.
hide,HIDE,deblurring,video-derived blur,paired synthetic degradation,human-motion evaluation,https://openaccess.thecvf.com/content_ICCV_2019/html/Shen_Human-Aware_Motion_Deblurring_ICCV_2019_paper.html,Specify subset and use of human-region annotations; preserve the video split.
sots,RESIDE SOTS,dehazing,digital haze synthesis,paired synthetic degradation,haze evaluation,https://sites.google.com/view/reside-dehaze-datasets/reside-standard,Separate indoor and outdoor subsets; synthetic fidelity does not establish natural-fog generalization.
rain100,Rain100L and Rain100H,deraining,digital rain synthesis,paired synthetic degradation,rain evaluation,https://openaccess.thecvf.com/content_cvpr_2017/html/Yang_Deep_Joint_Rain_CVPR_2017_paper.html,Keep the light and heavy variants and their release-specific image lists separate.
csd,CSD,desnowing,digital snow synthesis,paired synthetic degradation,snow evaluation,https://openaccess.thecvf.com/content/ICCV2021/html/Chen_ALL_Snow_Removed_Single_Image_Desnowing_Algorithm_Using_Hierarchical_Dual-Tree_ICCV_2021_paper.html,Synthetic flakes and veiling effects are distinct from naturally captured snowfall.
snow100k,Snow100K synthetic subsets,desnowing,digital snow synthesis,paired synthetic degradation,snow evaluation,https://sites.google.com/view/yunfuliu/desnownet,Identify S/M/L particle-size subsets; do not mix these with the separate realistic collection.
urhi,RESIDE URHI,dehazing,captured,unpaired,unreferenced hazy image collection,https://sites.google.com/view/reside-dehaze-datasets/reside-v0,No aligned clear references; a separate clean training pool must be documented.
rtts,RESIDE RTTS,dehazing,captured,unpaired,task-driven evaluation,https://sites.google.com/view/reside-dehaze-datasets/reside-v0,Object annotations support downstream tests; they are not aligned clean images.
snow_real,Snow100K realistic snowy collection,desnowing,captured,unpaired,unreferenced real-snow evaluation,https://sites.google.com/view/yunfuliu/desnownet,The realistic snowy photographs are separate from the paired synthetic test subsets.
enlightengan,EnlightenGAN low and normal-light pools,low-light,captured collections,unpaired,independent-domain training,https://github.com/VITA-Group/EnlightenGAN,Use the authors' dataset instructions; distinguish independent training pools from paired evaluation benchmarks.
acdc,ACDC,dehazing;low-light;deraining;desnowing,captured,scene correspondence,downstream adverse-weather evaluation,https://acdc.vision.ee.ethz.ch/,Adverse and normal-condition scenes are not pixel-aligned restoration ground truth.
