id,method,title,year,venue,tasks,scope,paradigm,paper_url,code_url,code_status,training_regime,access_note,year_basis
Land1971JOSA,Retinex,Lightness and Retinex Theory,1971,Journal of the Optical Society of America,low-light,foundation,Prior-guided,https://doi.org/10.1364/JOSA.61.000001,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Dabov2007TIP,BM3D,Image Denoising by Sparse 3-D Transform-Domain Collaborative Filtering,2007,IEEE TIP,denoising,foundation,Prior-guided,https://webpages.tuni.fi/foi/GCF-BM3D/index.html,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
He2009CVPR,Dark channel prior,Single Image Haze Removal Using Dark Channel Prior,2009,CVPR,dehazing,foundation,Prior-guided,https://people.csail.mit.edu/kaiming/,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Goodfellow2014NeurIPS,GAN,Generative Adversarial Nets,2014,NeurIPS,generative modeling,foundation,Adversarial modeling,https://arxiv.org/abs/1406.2661,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Zhu2017ICCV,CycleGAN,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,2017,ICCV,general image translation,foundation,Domain Translation,https://junyanz.github.io/CycleGAN/,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,official_public_repository,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
dinh2017density,Real NVP,Density estimation using Real NVP,2017,ICLR,density modeling,foundation,Normalizing flow,https://arxiv.org/abs/1605.08803,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
Liu2017NeurIPS,UNIT,Unsupervised Image-to-Image Translation Networks,2017,NeurIPS,general image translation,foundation,Representation Learning,https://arxiv.org/abs/1703.00848,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
engin2018cycle,Cycle-Dehaze,Cycle-Dehaze: Enhanced CycleGAN for Single Image Dehazing,2018,CVPR Workshops,dehazing,core,Domain Translation,https://arxiv.org/abs/1805.05308,https://github.com/engindeniz/Cycle-Dehaze,official_public_repository,unpaired restoration; consult access note and paper for auxiliary supervision,Representative method; exact training pools and auxiliary pretraining require configuration-level disclosure.,final publication/issue year
Ulyanov2018CVPR,Deep image prior,Deep Image Prior,2018,CVPR,image restoration,adjacent,Prior-guided,https://arxiv.org/abs/1711.10925,,not_verified,single-image optimization with an architectural prior,Adjacent information budget; does not use two independent degraded/clean marginal datasets.,final publication/issue year
Lee2018ECCV,DRIT,Diverse Image-to-Image Translation via Disentangled Representations,2018,ECCV,general image translation,foundation,Representation Learning,https://arxiv.org/abs/1808.00948,,not_verified,general methodological antecedent; not a degradation-specific unpaired-restoration result,Included to explain mechanisms; excluded from core-restoration annual counts.,final publication/issue year
